Дата: 2024-05-05
Категория: Доход
Сумма: 10000
Описание: аванс

Дата: 2024-05-05
Категория: Расход
Сумма: 500
Описание: Еда


            2024-05-07T01:19:54	0	
            1	test

            2024-05-07T01:20:41	0	
            1000	test
2024-05-07 16:18:29	0	100	test 2
2024-05-07 16:18:41	0	500	test
2024-05-07 20:29:41	0	1000	test_

2024-05-07 20:30:32	0	300	test3

2024-05-07 20:31:25	0	100	test
2024-05-07 20:31:43	0	250	test4
2024-05-07 20:33:01	0	20000	
2024-05-07 20:34:23	0	10000	зарплата
2024-05-07 20:34:48	0	2300	подработка
2024-05-07 20:43:05	1	4000	куртка
2024-05-07 20:43:29	1	300	
2024-05-07 20:43:59	1	1300	картина
2024-05-07 21:35:01	Расход	500	тест
2024-05-07 21:36:22	Доход	300	test
2024-05-07 21:36:46	Расход	3700	магазин
2024-05-07 22:46:12	Доход	400	test
2024-05-07 22:46:24	Расход	300	test2
